Barcode,Bot
s_008um_00632_00615-1,PC
s_008um_00679_00612-1,PC
s_008um_00659_00598-1,PC
s_008um_00693_00618-1,PC
s_008um_00648_00644-1,PC
s_008um_00662_00614-1,PC
s_008um_00682_00625-1,PC
s_008um_00651_00616-1,PC
s_008um_00657_00604-1,PC
s_008um_00649_00621-1,PC
s_008um_00678_00632-1,PC
s_008um_00634_00642-1,PC
s_008um_00658_00608-1,PC
s_008um_00655_00626-1,PC
s_008um_00629_00601-1,PC
s_008um_00639_00604-1,PC
s_008um_00694_00620-1,PC
s_008um_00640_00625-1,PC
s_008um_00674_00629-1,PC
s_008um_00688_00647-1,PC
s_008um_00620_00623-1,PC
s_008um_00647_00629-1,PC
s_008um_00671_00625-1,PC
s_008um_00674_00625-1,PC
s_008um_00652_00598-1,PC
s_008um_00640_00634-1,PC
s_008um_00672_00614-1,PC
s_008um_00689_00648-1,PC
s_008um_00653_00599-1,PC
s_008um_00640_00600-1,PC
s_008um_00649_00617-1,PC
s_008um_00637_00621-1,PC
s_008um_00618_00638-1,PC
s_008um_00621_00645-1,PC
s_008um_00646_00631-1,PC
s_008um_00632_00635-1,PC
s_008um_00669_00621-1,PC
s_008um_00693_00616-1,PC
s_008um_00634_00607-1,PC
s_008um_00677_00645-1,PC
s_008um_00681_00641-1,PC
s_008um_00647_00632-1,PC
s_008um_00659_00613-1,PC
s_008um_00657_00640-1,PC
s_008um_00637_00637-1,PC
s_008um_00638_00635-1,PC
s_008um_00661_00612-1,PC
s_008um_00638_00609-1,PC
s_008um_00671_00634-1,PC
s_008um_00634_00615-1,PC
s_008um_00646_00612-1,PC
s_008um_00619_00608-1,PC
s_008um_00642_00614-1,PC
s_008um_00627_00621-1,PC
s_008um_00676_00637-1,PC
s_008um_00682_00626-1,PC
s_008um_00671_00641-1,PC
s_008um_00620_00637-1,PC
s_008um_00642_00621-1,PC
s_008um_00619_00642-1,PC
s_008um_00651_00611-1,PC
s_008um_00680_00629-1,PC
s_008um_00663_00642-1,PC
s_008um_00656_00599-1,PC
s_008um_00619_00604-1,PC
s_008um_00626_00616-1,PC
s_008um_00671_00611-1,PC
s_008um_00648_00614-1,PC
s_008um_00665_00616-1,PC
s_008um_00669_00617-1,PC
s_008um_00628_00636-1,PC
s_008um_00623_00603-1,PC
s_008um_00656_00644-1,PC
s_008um_00646_00637-1,PC
s_008um_00620_00619-1,PC
s_008um_00691_00631-1,PC
s_008um_00677_00604-1,PC
s_008um_00675_00623-1,PC
s_008um_00678_00607-1,PC
s_008um_00641_00641-1,PC
s_008um_00666_00614-1,PC
s_008um_00624_00604-1,PC
s_008um_00683_00612-1,PC
s_008um_00618_00641-1,PC
s_008um_00663_00612-1,PC
s_008um_00678_00642-1,PC
s_008um_00685_00640-1,PC
s_008um_00670_00627-1,PC
s_008um_00681_00628-1,PC
s_008um_00685_00632-1,PC
s_008um_00653_00614-1,PC
s_008um_00635_00611-1,PC
s_008um_00647_00614-1,PC
s_008um_00648_00613-1,PC
s_008um_00684_00631-1,PC
s_008um_00662_00607-1,PC
s_008um_00659_00620-1,PC
s_008um_00640_00636-1,PC
s_008um_00637_00627-1,PC
s_008um_00677_00639-1,PC
s_008um_00678_00643-1,PC
s_008um_00662_00634-1,PC
s_008um_00690_00625-1,PC
s_008um_00677_00628-1,PC
s_008um_00668_00628-1,PC
s_008um_00684_00628-1,PC
s_008um_00653_00632-1,PC
s_008um_00654_00621-1,PC
s_008um_00650_00619-1,PC
s_008um_00670_00612-1,PC
s_008um_00666_00603-1,PC
s_008um_00645_00635-1,PC
s_008um_00635_00632-1,PC
s_008um_00662_00602-1,PC
s_008um_00634_00613-1,PC
s_008um_00634_00621-1,PC
s_008um_00638_00638-1,PC
s_008um_00670_00613-1,PC
s_008um_00626_00610-1,PC
s_008um_00658_00617-1,PC
s_008um_00636_00620-1,PC
s_008um_00620_00635-1,PC
s_008um_00679_00643-1,PC
s_008um_00691_00619-1,PC
s_008um_00666_00606-1,PC
s_008um_00675_00618-1,PC
s_008um_00675_00626-1,PC
s_008um_00630_00613-1,PC
s_008um_00627_00635-1,PC
s_008um_00670_00644-1,PC
s_008um_00627_00631-1,PC
s_008um_00666_00632-1,PC
s_008um_00633_00632-1,PC
s_008um_00662_00611-1,PC
s_008um_00627_00617-1,PC
s_008um_00619_00606-1,PC
s_008um_00677_00608-1,PC
s_008um_00686_00630-1,PC
s_008um_00669_00616-1,PC
s_008um_00689_00623-1,PC
s_008um_00629_00602-1,PC
s_008um_00628_00601-1,PC
s_008um_00665_00638-1,PC
s_008um_00648_00620-1,PC
s_008um_00638_00602-1,PC
s_008um_00649_00631-1,PC
s_008um_00648_00608-1,PC
s_008um_00651_00638-1,PC
s_008um_00682_00623-1,PC
s_008um_00619_00629-1,PC
s_008um_00647_00603-1,PC
s_008um_00643_00606-1,PC
s_008um_00691_00614-1,PC
s_008um_00687_00642-1,PC
s_008um_00654_00637-1,PC
s_008um_00668_00635-1,PC
s_008um_00631_00624-1,PC
s_008um_00686_00618-1,PC
s_008um_00683_00626-1,PC
s_008um_00673_00634-1,PC
s_008um_00678_00615-1,PC
s_008um_00636_00604-1,PC
s_008um_00653_00605-1,PC
s_008um_00689_00614-1,PC
s_008um_00639_00641-1,PC
s_008um_00657_00606-1,PC
s_008um_00631_00641-1,PC
s_008um_00692_00620-1,PC
s_008um_00644_00632-1,PC
s_008um_00645_00622-1,PC
s_008um_00619_00610-1,PC
s_008um_00628_00642-1,PC
s_008um_00667_00623-1,PC
s_008um_00672_00604-1,PC
s_008um_00631_00608-1,PC
s_008um_00622_00639-1,PC
s_008um_00673_00620-1,PC
s_008um_00687_00614-1,PC
s_008um_00633_00618-1,PC
s_008um_00628_00633-1,PC
s_008um_00679_00618-1,PC
s_008um_00644_00621-1,PC
s_008um_00629_00639-1,PC
s_008um_00681_00646-1,PC
s_008um_00628_00624-1,PC
s_008um_00650_00638-1,PC
s_008um_00623_00604-1,PC
s_008um_00670_00605-1,PC
s_008um_00627_00636-1,PC
s_008um_00660_00621-1,PC
s_008um_00652_00637-1,PC
s_008um_00622_00610-1,PC
s_008um_00672_00645-1,PC
s_008um_00664_00630-1,PC
s_008um_00627_00643-1,PC
s_008um_00647_00635-1,PC
s_008um_00634_00641-1,PC
s_008um_00646_00635-1,PC
s_008um_00640_00612-1,PC
s_008um_00681_00622-1,PC
s_008um_00639_00605-1,PC
s_008um_00681_00615-1,PC
s_008um_00692_00631-1,PC
s_008um_00665_00625-1,PC
s_008um_00674_00603-1,PC
s_008um_00666_00613-1,PC
s_008um_00660_00611-1,PC
s_008um_00679_00638-1,PC
s_008um_00661_00603-1,PC
s_008um_00672_00627-1,PC
s_008um_00679_00616-1,PC
s_008um_00672_00625-1,PC
s_008um_00648_00629-1,PC
s_008um_00675_00644-1,PC
s_008um_00657_00639-1,PC
s_008um_00625_00615-1,PC
s_008um_00640_00626-1,PC
s_008um_00686_00619-1,PC
s_008um_00637_00638-1,PC
s_008um_00629_00624-1,PC
s_008um_00649_00611-1,PC
s_008um_00677_00610-1,PC
s_008um_00631_00618-1,PC
s_008um_00681_00626-1,PC
s_008um_00659_00607-1,PC
s_008um_00639_00606-1,PC
s_008um_00638_00612-1,PC
s_008um_00625_00610-1,PC
s_008um_00672_00602-1,PC
s_008um_00664_00628-1,PC
s_008um_00621_00613-1,PC
s_008um_00659_00622-1,PC
s_008um_00676_00606-1,PC
s_008um_00684_00624-1,PC
s_008um_00656_00637-1,PC
s_008um_00619_00633-1,PC
s_008um_00623_00605-1,PC
s_008um_00658_00606-1,PC
s_008um_00635_00638-1,PC
s_008um_00677_00631-1,PC
s_008um_00687_00647-1,PC
s_008um_00688_00646-1,PC
s_008um_00653_00607-1,PC
s_008um_00634_00637-1,PC
s_008um_00664_00637-1,PC
s_008um_00619_00619-1,PC
s_008um_00691_00644-1,PC
s_008um_00626_00618-1,PC
s_008um_00629_00638-1,PC
s_008um_00678_00629-1,PC
s_008um_00686_00610-1,PC
s_008um_00671_00642-1,PC
s_008um_00668_00640-1,PC
s_008um_00686_00638-1,PC
s_008um_00670_00615-1,PC
s_008um_00665_00617-1,PC
s_008um_00642_00601-1,PC
s_008um_00662_00636-1,PC
s_008um_00677_00620-1,PC
s_008um_00675_00629-1,PC
s_008um_00690_00626-1,PC
s_008um_00627_00601-1,PC
s_008um_00622_00635-1,PC
s_008um_00624_00602-1,PC
s_008um_00622_00638-1,PC
s_008um_00618_00643-1,PC
s_008um_00689_00613-1,PC
s_008um_00628_00622-1,PC
s_008um_00685_00631-1,PC
s_008um_00672_00613-1,PC
s_008um_00649_00634-1,PC
s_008um_00623_00631-1,PC
s_008um_00629_00611-1,PC
s_008um_00646_00632-1,PC
s_008um_00648_00604-1,PC
s_008um_00689_00618-1,PC
s_008um_00661_00613-1,PC
s_008um_00678_00631-1,PC
s_008um_00659_00642-1,PC
s_008um_00688_00640-1,PC
s_008um_00694_00615-1,PC
s_008um_00678_00633-1,PC
s_008um_00633_00615-1,PC
s_008um_00638_00639-1,PC
s_008um_00642_00600-1,PC
s_008um_00624_00621-1,PC
