Barcode,Mid
s_008um_00429_00238-1,PC
s_008um_00451_00208-1,PC
s_008um_00428_00235-1,PC
s_008um_00478_00202-1,PC
s_008um_00479_00203-1,PC
s_008um_00472_00227-1,PC
s_008um_00438_00229-1,PC
s_008um_00479_00232-1,PC
s_008um_00435_00218-1,PC
s_008um_00474_00224-1,PC
s_008um_00470_00231-1,PC
s_008um_00447_00216-1,PC
s_008um_00462_00231-1,PC
s_008um_00431_00210-1,PC
s_008um_00431_00209-1,PC
s_008um_00421_00220-1,PC
s_008um_00419_00226-1,PC
s_008um_00460_00204-1,PC
s_008um_00476_00233-1,PC
s_008um_00481_00210-1,PC
s_008um_00477_00206-1,PC
s_008um_00428_00226-1,PC
s_008um_00479_00218-1,PC
s_008um_00434_00226-1,PC
s_008um_00443_00218-1,PC
s_008um_00447_00229-1,PC
s_008um_00475_00238-1,PC
s_008um_00447_00212-1,PC
s_008um_00477_00208-1,PC
s_008um_00471_00217-1,PC
s_008um_00443_00232-1,PC
s_008um_00426_00224-1,PC
s_008um_00417_00227-1,PC
s_008um_00412_00226-1,PC
s_008um_00456_00211-1,PC
s_008um_00413_00204-1,PC
s_008um_00459_00202-1,PC
s_008um_00460_00224-1,PC
s_008um_00452_00239-1,PC
s_008um_00427_00230-1,PC
s_008um_00474_00203-1,PC
s_008um_00472_00205-1,PC
s_008um_00472_00232-1,PC
s_008um_00466_00237-1,PC
s_008um_00449_00219-1,PC
s_008um_00476_00221-1,PC
s_008um_00440_00206-1,PC
s_008um_00456_00215-1,PC
s_008um_00463_00242-1,PC
s_008um_00426_00226-1,PC
s_008um_00437_00227-1,PC
s_008um_00475_00220-1,PC
s_008um_00472_00198-1,PC
s_008um_00446_00202-1,PC
s_008um_00441_00223-1,PC
s_008um_00466_00216-1,PC
s_008um_00447_00208-1,PC
s_008um_00459_00208-1,PC
s_008um_00409_00223-1,PC
s_008um_00459_00232-1,PC
s_008um_00455_00221-1,PC
s_008um_00438_00205-1,PC
s_008um_00421_00204-1,PC
s_008um_00479_00201-1,PC
s_008um_00474_00227-1,PC
s_008um_00471_00232-1,PC
s_008um_00468_00222-1,PC
s_008um_00448_00216-1,PC
s_008um_00454_00204-1,PC
s_008um_00472_00209-1,PC
s_008um_00415_00230-1,PC
s_008um_00450_00213-1,PC
s_008um_00481_00209-1,PC
s_008um_00444_00224-1,PC
s_008um_00412_00209-1,PC
s_008um_00480_00234-1,PC
s_008um_00477_00230-1,PC
s_008um_00462_00227-1,PC
s_008um_00446_00210-1,PC
s_008um_00446_00212-1,PC
s_008um_00450_00211-1,PC
s_008um_00426_00205-1,PC
s_008um_00413_00207-1,PC
s_008um_00468_00215-1,PC
s_008um_00429_00237-1,PC
s_008um_00474_00233-1,PC
s_008um_00482_00218-1,PC
s_008um_00441_00207-1,PC
s_008um_00464_00215-1,PC
s_008um_00461_00236-1,PC
s_008um_00454_00237-1,PC
s_008um_00419_00217-1,PC
s_008um_00435_00210-1,PC
s_008um_00454_00238-1,PC
s_008um_00458_00210-1,PC
s_008um_00475_00230-1,PC
s_008um_00437_00203-1,PC
s_008um_00438_00233-1,PC
s_008um_00457_00242-1,PC
s_008um_00435_00226-1,PC
s_008um_00436_00226-1,PC
s_008um_00471_00213-1,PC
s_008um_00439_00211-1,PC
s_008um_00429_00207-1,PC
s_008um_00415_00232-1,PC
s_008um_00451_00204-1,PC
s_008um_00461_00204-1,PC
s_008um_00417_00213-1,PC
s_008um_00482_00229-1,PC
s_008um_00461_00229-1,PC
s_008um_00466_00217-1,PC
s_008um_00470_00202-1,PC
s_008um_00450_00217-1,PC
s_008um_00442_00225-1,PC
s_008um_00447_00241-1,PC
s_008um_00475_00207-1,PC
s_008um_00438_00223-1,PC
s_008um_00438_00231-1,PC
s_008um_00452_00206-1,PC
s_008um_00438_00228-1,PC
s_008um_00475_00210-1,PC
s_008um_00469_00239-1,PC
s_008um_00469_00201-1,PC
s_008um_00435_00235-1,PC
s_008um_00444_00227-1,PC
s_008um_00479_00204-1,PC
s_008um_00458_00207-1,PC
s_008um_00473_00203-1,PC
s_008um_00467_00226-1,PC
s_008um_00432_00226-1,PC
s_008um_00464_00228-1,PC
s_008um_00455_00238-1,PC
s_008um_00426_00229-1,PC
s_008um_00433_00229-1,PC
s_008um_00474_00223-1,PC
s_008um_00445_00234-1,PC
s_008um_00466_00232-1,PC
s_008um_00457_00233-1,PC
s_008um_00450_00232-1,PC
s_008um_00448_00212-1,PC
s_008um_00414_00219-1,PC
s_008um_00456_00223-1,PC
s_008um_00444_00241-1,PC
s_008um_00420_00225-1,PC
s_008um_00462_00210-1,PC
s_008um_00444_00223-1,PC
s_008um_00432_00204-1,PC
s_008um_00474_00198-1,PC
s_008um_00449_00212-1,PC
s_008um_00470_00223-1,PC
s_008um_00442_00216-1,PC
s_008um_00463_00226-1,PC
s_008um_00462_00240-1,PC
s_008um_00413_00219-1,PC
s_008um_00450_00203-1,PC
s_008um_00444_00226-1,PC
s_008um_00443_00223-1,PC
s_008um_00456_00221-1,PC
s_008um_00469_00202-1,PC
s_008um_00465_00226-1,PC
s_008um_00441_00233-1,PC
s_008um_00461_00225-1,PC
s_008um_00462_00238-1,PC
s_008um_00482_00232-1,PC
s_008um_00412_00225-1,PC
s_008um_00413_00225-1,PC
s_008um_00468_00205-1,PC
s_008um_00445_00240-1,PC
s_008um_00458_00240-1,PC
s_008um_00409_00207-1,PC
s_008um_00427_00205-1,PC
s_008um_00467_00209-1,PC
s_008um_00432_00232-1,PC
s_008um_00456_00238-1,PC
s_008um_00466_00235-1,PC
s_008um_00478_00198-1,PC
s_008um_00461_00226-1,PC
s_008um_00419_00209-1,PC
s_008um_00477_00228-1,PC
s_008um_00483_00228-1,PC
s_008um_00445_00209-1,PC
s_008um_00477_00232-1,PC
s_008um_00417_00209-1,PC
s_008um_00453_00215-1,PC
s_008um_00430_00209-1,PC
s_008um_00434_00224-1,PC
s_008um_00470_00199-1,PC
s_008um_00448_00241-1,PC
s_008um_00409_00202-1,PC
s_008um_00440_00207-1,PC
s_008um_00421_00227-1,PC
s_008um_00459_00230-1,PC
s_008um_00413_00211-1,PC
s_008um_00440_00218-1,PC
s_008um_00457_00237-1,PC
s_008um_00467_00217-1,PC
s_008um_00460_00207-1,PC
s_008um_00478_00217-1,PC
s_008um_00439_00214-1,PC
s_008um_00465_00222-1,PC
s_008um_00431_00230-1,PC
s_008um_00422_00225-1,PC
s_008um_00431_00205-1,PC
s_008um_00465_00204-1,PC
s_008um_00447_00207-1,PC
s_008um_00462_00203-1,PC
s_008um_00470_00215-1,PC
s_008um_00436_00220-1,PC
s_008um_00417_00224-1,PC
s_008um_00447_00215-1,PC
s_008um_00473_00208-1,PC
s_008um_00445_00206-1,PC
s_008um_00464_00237-1,PC
s_008um_00454_00224-1,PC
s_008um_00435_00207-1,PC
s_008um_00432_00211-1,PC
s_008um_00464_00223-1,PC
s_008um_00454_00235-1,PC
s_008um_00477_00197-1,PC
s_008um_00430_00204-1,PC
s_008um_00420_00236-1,PC
s_008um_00447_00233-1,PC
s_008um_00423_00221-1,PC
s_008um_00412_00207-1,PC
s_008um_00444_00204-1,PC
s_008um_00414_00210-1,PC
s_008um_00468_00221-1,PC
s_008um_00445_00205-1,PC
s_008um_00470_00225-1,PC
s_008um_00451_00207-1,PC
s_008um_00414_00228-1,PC
s_008um_00430_00217-1,PC
s_008um_00438_00208-1,PC
s_008um_00462_00204-1,PC
s_008um_00418_00227-1,PC
s_008um_00458_00236-1,PC
s_008um_00482_00222-1,PC
s_008um_00436_00240-1,PC
s_008um_00469_00206-1,PC
s_008um_00455_00219-1,PC
s_008um_00438_00206-1,PC
s_008um_00407_00212-1,PC
s_008um_00471_00216-1,PC
s_008um_00429_00210-1,PC
s_008um_00460_00225-1,PC
s_008um_00462_00215-1,PC
s_008um_00427_00207-1,PC
s_008um_00463_00214-1,PC
s_008um_00435_00205-1,PC
s_008um_00437_00213-1,PC
s_008um_00463_00217-1,PC
s_008um_00428_00212-1,PC
s_008um_00412_00202-1,PC
s_008um_00413_00212-1,PC
s_008um_00410_00203-1,PC
s_008um_00449_00214-1,PC
s_008um_00418_00212-1,PC
s_008um_00478_00231-1,PC
s_008um_00430_00224-1,PC
s_008um_00464_00241-1,PC
s_008um_00421_00226-1,PC
s_008um_00410_00201-1,PC
s_008um_00465_00240-1,PC
s_008um_00456_00222-1,PC
s_008um_00453_00225-1,PC
s_008um_00432_00225-1,PC
s_008um_00432_00222-1,PC
s_008um_00476_00212-1,PC
s_008um_00472_00202-1,PC
s_008um_00477_00217-1,PC
s_008um_00430_00237-1,PC
s_008um_00454_00234-1,PC
s_008um_00461_00223-1,PC
s_008um_00417_00221-1,PC
s_008um_00469_00230-1,PC
s_008um_00467_00237-1,PC
s_008um_00482_00195-1,PC
s_008um_00474_00207-1,PC
s_008um_00467_00213-1,PC
s_008um_00414_00208-1,PC
s_008um_00427_00206-1,PC
s_008um_00471_00201-1,PC
s_008um_00436_00224-1,PC
s_008um_00433_00230-1,PC
s_008um_00418_00209-1,PC
s_008um_00441_00211-1,PC
s_008um_00473_00222-1,PC
s_008um_00468_00241-1,PC
s_008um_00471_00228-1,PC
s_008um_00436_00219-1,PC
s_008um_00457_00228-1,PC
s_008um_00429_00204-1,PC
s_008um_00430_00219-1,PC
s_008um_00438_00219-1,PC
s_008um_00419_00228-1,PC
s_008um_00434_00205-1,PC
s_008um_00443_00206-1,PC
s_008um_00428_00211-1,PC
s_008um_00447_00231-1,PC
s_008um_00432_00207-1,PC
s_008um_00471_00234-1,PC
s_008um_00451_00236-1,PC
s_008um_00458_00208-1,PC
