Symbol,Name
Acvr1,"Activin a receptor, type i"
Acvr1b,"Activin a receptor, type ib"
Acvr1c,"Activin a receptor, type ic"
Acvr2a,"Activin a receptor, type iia"
Acvr2b,"Activin a receptor, type iib"
Acvrl1,Activin a receptor type ii-like 1
Amhr2,"Anti-mullerian hormone receptor, type ii"
Atf2,Activating transcription factor 2
Bambi,Bmp and activin membrane-bound inhibitor
Bmp1,Bone morphogenetic protein 1
Bmp10,Bone morphogenetic protein 10
Bmp15,Bone morphogenetic protein 15
Bmp2,Bone morphogenetic protein 2
Bmp3,Bone morphogenetic protein 3
Bmp4,Bone morphogenetic protein 4
Bmp5,Bone morphogenetic protein 5
Bmp6,Bone morphogenetic protein 6
Bmp7,Bone morphogenetic protein 7
Bmp8a,Bone morphogenetic protein 8a
Bmp8b,Bone morphogenetic protein 8b
Bmpr1a,"Bone morphogenetic protein receptor, type ia"
Bmpr1b,"Bone morphogenetic protein receptor, type ib"
Bmpr2,"Bone morphogenetic protein receptor, type ii (serine/threonine kinase)"
Cited1,"Cbp/p300-interacting transactivator, with glu/asp-rich carboxy-terminal domain, 1"
Cited2,"Cbp/p300-interacting transactivator, with glu/asp-rich carboxy-terminal domain, 2"
Crebbp,Creb binding protein
Dcp1b,Decapping mrna 1b
Ep300,E1a binding protein p300
Fkbp1a,"Fk506 binding protein 1a, 12kda"
Fosl1,Fos-like antigen 1
Foxh1,Forkhead box h1
Gdf1,Growth differentiation factor 1
Gdf10,Growth differentiation factor 10
Gdf11,Growth differentiation factor 11
Gdf15,Growth differentiation factor 15
Gdf2,Growth differentiation factor 2
Gdf3,Growth differentiation factor 3
Gdf5,Growth differentiation factor 5
Gdf6,Growth differentiation factor 6
Gdf7,Growth differentiation factor 7
Gdf9,Growth differentiation factor 9
Gdnf,Glial cell derived neurotrophic factor
Hras,Harvey rat sarcoma viral oncogene homolog
Inhba,"Inhibin, beta a"
Inhbb,"Inhibin, beta b"
Inhbc,"Inhibin, beta c"
Inhbe,"Inhibin, beta e"
Jun,Jun proto-oncogene
Junb,Jun b proto-oncogene
Jund,Jun d proto-oncogene
Lefty1,Left-right determination factor 1
Lefty2,Left-right determination factor 2
Map3k7,Mitogen-activated protein kinase kinase kinase 7
Map3k7cl,Map3k7 c-terminal like
Mapk1,Mitogen-activated protein kinase 1
Mapk10,Mitogen-activated protein kinase 10
Mapk11,Mitogen-activated protein kinase 11
Mapk12,Mitogen-activated protein kinase 12
Mapk13,Mitogen-activated protein kinase 13
Mapk14,Mitogen-activated protein kinase 14
Mapk3,Mitogen-activated protein kinase 3
Mapk8,Mitogen-activated protein kinase 8
Mapk9,Mitogen-activated protein kinase 9
Mstn,Myostatin
Nodal,Nodal growth differentiation factor
Nras,Neuroblastoma ras viral (v-ras) oncogene homolog
Rras,Related ras viral (r-ras) oncogene homolog
Ski,Ski proto-oncogene
Skil,Ski-like proto-oncogene
Smad1,Smad family member 1
Smad2,Smad family member 2
Smad3,Smad family member 3
Smad4,Smad family member 4
Smad6,Smad family member 6
Smad7,Smad family member 7
Smad9,Smad family member 9
Smurf1,Smad specific e3 ubiquitin protein ligase 1
Smurf2,Smad specific e3 ubiquitin protein ligase 2
Snip1,Smad nuclear interacting protein 1
Tab1,Tgf-beta activated kinase 1/map3k7 binding protein 1
Tgfb2,"Transforming growth factor, beta 2"
Tgfb3,"Transforming growth factor, beta 3"
Tgfbr1,"Transforming growth factor, beta receptor 1"
Tgfbr2,"Transforming growth factor, beta receptor ii (70/80kda)"
Tll1,Tolloid-like 1
Tll2,Tolloid-like 2
Zfyve9,"Zinc finger, fyve domain containing 9"
