Barcode,Top
s_008um_00112_00133-1,PC
s_008um_00142_00126-1,PC
s_008um_00132_00120-1,PC
s_008um_00151_00133-1,PC
s_008um_00129_00143-1,PC
s_008um_00142_00108-1,PC
s_008um_00142_00112-1,PC
s_008um_00083_00121-1,PC
s_008um_00131_00139-1,PC
s_008um_00137_00125-1,PC
s_008um_00112_00131-1,PC
s_008um_00146_00122-1,PC
s_008um_00138_00138-1,PC
s_008um_00145_00122-1,PC
s_008um_00142_00121-1,PC
s_008um_00090_00134-1,PC
s_008um_00144_00118-1,PC
s_008um_00145_00127-1,PC
s_008um_00138_00121-1,PC
s_008um_00135_00148-1,PC
s_008um_00081_00134-1,PC
s_008um_00117_00147-1,PC
s_008um_00130_00140-1,PC
s_008um_00121_00124-1,PC
s_008um_00088_00144-1,PC
s_008um_00123_00149-1,PC
s_008um_00127_00112-1,PC
s_008um_00122_00127-1,PC
s_008um_00144_00112-1,PC
s_008um_00105_00131-1,PC
s_008um_00104_00145-1,PC
s_008um_00134_00134-1,PC
s_008um_00141_00128-1,PC
s_008um_00136_00131-1,PC
s_008um_00098_00133-1,PC
s_008um_00131_00143-1,PC
s_008um_00101_00136-1,PC
s_008um_00133_00136-1,PC
s_008um_00098_00124-1,PC
s_008um_00137_00122-1,PC
s_008um_00088_00150-1,PC
s_008um_00127_00124-1,PC
s_008um_00102_00138-1,PC
s_008um_00097_00130-1,PC
s_008um_00152_00118-1,PC
s_008um_00111_00144-1,PC
s_008um_00079_00123-1,PC
s_008um_00097_00138-1,PC
s_008um_00149_00129-1,PC
s_008um_00151_00107-1,PC
s_008um_00133_00149-1,PC
s_008um_00094_00138-1,PC
s_008um_00148_00143-1,PC
s_008um_00101_00123-1,PC
s_008um_00137_00150-1,PC
s_008um_00098_00135-1,PC
s_008um_00091_00153-1,PC
s_008um_00119_00115-1,PC
s_008um_00094_00146-1,PC
s_008um_00095_00142-1,PC
s_008um_00151_00119-1,PC
s_008um_00145_00107-1,PC
s_008um_00092_00145-1,PC
s_008um_00140_00117-1,PC
s_008um_00089_00133-1,PC
s_008um_00154_00136-1,PC
s_008um_00103_00137-1,PC
s_008um_00122_00144-1,PC
s_008um_00100_00150-1,PC
s_008um_00106_00137-1,PC
s_008um_00153_00136-1,PC
s_008um_00136_00135-1,PC
s_008um_00087_00145-1,PC
s_008um_00119_00140-1,PC
s_008um_00114_00130-1,PC
s_008um_00117_00123-1,PC
s_008um_00151_00142-1,PC
s_008um_00112_00124-1,PC
s_008um_00123_00145-1,PC
s_008um_00149_00104-1,PC
s_008um_00146_00117-1,PC
s_008um_00093_00129-1,PC
s_008um_00133_00111-1,PC
s_008um_00149_00109-1,PC
s_008um_00102_00121-1,PC
s_008um_00087_00131-1,PC
s_008um_00090_00148-1,PC
s_008um_00143_00144-1,PC
s_008um_00132_00114-1,PC
s_008um_00128_00141-1,PC
s_008um_00121_00135-1,PC
s_008um_00140_00137-1,PC
s_008um_00111_00127-1,PC
s_008um_00127_00130-1,PC
s_008um_00099_00135-1,PC
s_008um_00134_00146-1,PC
s_008um_00136_00137-1,PC
s_008um_00111_00139-1,PC
s_008um_00114_00116-1,PC
s_008um_00142_00148-1,PC
s_008um_00105_00143-1,PC
s_008um_00108_00128-1,PC
s_008um_00147_00125-1,PC
s_008um_00091_00152-1,PC
s_008um_00110_00155-1,PC
s_008um_00143_00136-1,PC
s_008um_00152_00127-1,PC
s_008um_00112_00126-1,PC
s_008um_00112_00123-1,PC
s_008um_00089_00145-1,PC
s_008um_00149_00133-1,PC
s_008um_00139_00117-1,PC
s_008um_00148_00109-1,PC
s_008um_00106_00148-1,PC
s_008um_00137_00128-1,PC
s_008um_00135_00109-1,PC
s_008um_00120_00137-1,PC
s_008um_00129_00118-1,PC
s_008um_00108_00137-1,PC
s_008um_00137_00139-1,PC
s_008um_00098_00145-1,PC
s_008um_00082_00132-1,PC
s_008um_00079_00127-1,PC
s_008um_00151_00105-1,PC
s_008um_00115_00138-1,PC
s_008um_00104_00140-1,PC
s_008um_00089_00140-1,PC
s_008um_00114_00147-1,PC
s_008um_00132_00123-1,PC
s_008um_00152_00141-1,PC
s_008um_00120_00153-1,PC
s_008um_00117_00127-1,PC
s_008um_00092_00129-1,PC
